bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_total_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
75443,2025-02-25,255965.471,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9425,2025-02-25,255965.471,BEB24000151,10155453994,CLT EFFET,Validation Effet escompté en Banque,85.0
75552,2025-03-03,-33100.0,10155346906,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 280225 LCN 10155346906,9470,2025-03-03,-33100.0,BVC250000426,10155346906,CLT EFFET,Valider Impayé via escompte,100.0
75579,2025-03-04,194283.813,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9492,2025-03-04,194283.813,BEB24000156,10155443033,CLT EFFET,Validation Effet escompté en Banque,85.0
75612,2025-03-07,195891.385,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:4,9517,2025-03-07,195891.385,BEB24000182,10155440705,CLT EFFET,Validation Effet escompté en Banque,85.0
75631,2025-03-10,-28750.0,10155323044,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 070325 LCN 10155323044,9539,2025-03-10,-28750.0,BVC250000409,10155323044,CLT EFFET,Valider Impayé via escompte,100.0
75746,2025-03-25,-33100.0,10155346809,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 240325 LCN 10155346809,9619,2025-03-24,-33100.0,BVC250000430,10155346712,CLT EFFET,Valider Impayé via escompte,98.75
75862,2025-04-07,375074.704,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9683,2025-04-07,375074.704,BEB24000205,9914964222,CLT EFFET,Validation Effet escompté en Banque,85.0
75882,2025-04-08,-16086.758,10396906394,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 070425 LCN 10396906394,9698,2025-04-08,-16086.758,BVC250000572,10396906394,CLT EFFET,Valider Impayé via escompte,100.0
75919,2025-04-14,287701.447,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9749,2025-04-14,287701.447,BEB24000207,10155456128,CLT EFFET,Validation Effet escompté en Banque,85.0
76352,2025-06-05,791295.752,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,10025,2025-06-05,791295.752,BEB24000264,10396676989,CLT EFFET,Validation Effet escompté en Banque,85.0
76434,2025-06-12,125108.304,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,10078,2025-06-12,125108.304,BEB24000270,10396664670,CLT EFFET,Validation Effet escompté en Banque,85.0
76504,2025-06-27,11937.8,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,10132,2025-06-27,11937.8,BEB24000296,10816986525,CLT EFFET,Validation Effet escompté en Banque,85.0
