id,original_position,operation_date_original,type_original,internal_number_original,is_origine_original,label_original,amount_original,sorted_position,operation_date_sorted,type_sorted,internal_number_sorted,is_origine_sorted,label_sorted,amount_sorted,position_diff
226717,11,2025-09-01,com,INT_4BC195B4,False,PAYEMENT EFFET 310825COM  010396998350,-0.3,13,2025-09-01,com,INT_4BC195B4,False,PAYEMENT EFFET 310825COM  010396998350,-0.3,2
226718,12,2025-09-01,origine,INT_4BC195B4,True,PAYEMENT EFFET 310825  010396998350,-32434.191,10,2025-09-01,origine,INT_4BC195B4,True,PAYEMENT EFFET 310825  010396998350,-32434.191,-2
226719,13,2025-09-01,tva,INT_A1330A91,False,PAYEMENT EFFET 300825TVA  010155466992,-0.057,25,2025-09-01,tva,INT_A1330A91,False,PAYEMENT EFFET 300825TVA  010155466992,-0.057,12
226720,14,2025-09-01,plo,INT_A1330A91,False,PAYEMENT EFFET 300825PLO  010155466992,-0.75,26,2025-09-01,plo,INT_A1330A91,False,PAYEMENT EFFET 300825PLO  010155466992,-0.75,12
226721,15,2025-09-01,com,INT_A1330A91,False,PAYEMENT EFFET 300825COM  010155466992,-0.3,27,2025-09-01,com,INT_A1330A91,False,PAYEMENT EFFET 300825COM  010155466992,-0.3,12
226722,16,2025-09-01,origine,INT_A1330A91,True,PAYEMENT EFFET 300825  010155466992,-150824.735,24,2025-09-01,origine,INT_A1330A91,True,PAYEMENT EFFET 300825  010155466992,-150824.735,8
226723,17,2025-09-01,tva,INT_FD63BFE6,False,PAYEMENT EFFET 310825TVA  010155473394,-0.057,29,2025-09-01,tva,INT_FD63BFE6,False,PAYEMENT EFFET 310825TVA  010155473394,-0.057,12
226724,18,2025-09-01,plo,INT_FD63BFE6,False,PAYEMENT EFFET 310825PLO  010155473394,-0.75,30,2025-09-01,plo,INT_FD63BFE6,False,PAYEMENT EFFET 310825PLO  010155473394,-0.75,12
226725,19,2025-09-01,com,INT_FD63BFE6,False,PAYEMENT EFFET 310825COM  010155473394,-0.3,31,2025-09-01,com,INT_FD63BFE6,False,PAYEMENT EFFET 310825COM  010155473394,-0.3,12
226726,20,2025-09-01,origine,INT_FD63BFE6,True,PAYEMENT EFFET 310825  010155473394,-75717.083,28,2025-09-01,origine,INT_FD63BFE6,True,PAYEMENT EFFET 310825  010155473394,-75717.083,8
226727,21,2025-09-01,tva,INT_E86CEC48,False,PAYEMENT EFFET 300825TVA  010396999514,-0.057,33,2025-09-01,tva,INT_E86CEC48,False,PAYEMENT EFFET 300825TVA  010396999514,-0.057,12
226728,22,2025-09-01,plo,INT_E86CEC48,False,PAYEMENT EFFET 300825PLO  010396999514,-0.75,34,2025-09-01,plo,INT_E86CEC48,False,PAYEMENT EFFET 300825PLO  010396999514,-0.75,12
226729,23,2025-09-01,com,INT_E86CEC48,False,PAYEMENT EFFET 300825COM  010396999514,-0.3,35,2025-09-01,com,INT_E86CEC48,False,PAYEMENT EFFET 300825COM  010396999514,-0.3,12
226730,24,2025-09-01,origine,INT_E86CEC48,True,PAYEMENT EFFET 300825  010396999514,-84550.497,32,2025-09-01,origine,INT_E86CEC48,True,PAYEMENT EFFET 300825  010396999514,-84550.497,8
226731,25,2025-09-01,tva,INT_8733C816,False,ENCAISSEMENT REMISE CHEQUES TVA Bordereau No2500951,-0.096,37,2025-09-01,tva,INT_8733C816,False,ENCAISSEMENT REMISE CHEQUES TVA Bordereau No2500951,-0.096,12
226732,26,2025-09-01,com,INT_8733C816,False,ENCAISSEMENT REMISE CHEQUES COMMISSION Bordereau No2500951,-0.5,38,2025-09-01,com,INT_8733C816,False,ENCAISSEMENT REMISE CHEQUES COMMISSION Bordereau No2500951,-0.5,12
226733,27,2025-09-01,origine,INT_8733C816,True,ENCAISSEMENT REMISE CHEQUES DU 28 08 2025 Bordereau No2500951,13384.072,36,2025-09-01,origine,INT_8733C816,True,ENCAISSEMENT REMISE CHEQUES DU 28 08 2025 Bordereau No2500951,13384.072,9
226734,28,2025-09-01,tva,INT_5D075055,False,VIREMENT REÇU 285973   TVA,-0.095,41,2025-09-01,tva,INT_5D075055,False,VIREMENT REÇU 285973   TVA,-0.095,13
226735,29,2025-09-01,com,INT_5D075055,False,VIREMENT REÇU 285973   Commission,-0.5,42,2025-09-01,com,INT_5D075055,False,VIREMENT REÇU 285973   Commission,-0.5,13
226736,30,2025-09-01,origine,INT_5D075055,True,VIREMENT REÇU 285973   IVANOVS KA OLENA EP MANITA,25899.532,40,2025-09-01,origine,INT_5D075055,True,VIREMENT REÇU 285973   IVANOVS KA OLENA EP MANITA,25899.532,10
226737,31,2025-09-01,origine,INT_9382BC4A,True,REGLEMENT ECHEANCE LEASING DROIT DE TIMBRE A PAYER,-1.0,43,2025-09-01,origine,INT_9382BC4A,True,REGLEMENT ECHEANCE LEASING DROIT DE TIMBRE A PAYER,-1.0,12
226738,32,2025-09-01,tva,INT_21B354CD,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,44,2025-09-01,tva,INT_21B354CD,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,12
226739,33,2025-09-01,commission regl leasi,INT_E2624805,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,45,2025-09-01,commission regl leasi,INT_E2624805,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,12
226740,34,2025-09-01,origine,INT_0083F615,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,46,2025-09-01,origine,INT_0083F615,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,12
226741,35,2025-09-01,tva,INT_FD3F09FC,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,47,2025-09-01,tva,INT_FD3F09FC,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,12
226742,36,2025-09-01,commission regl leasi,INT_C30A7596,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,48,2025-09-01,commission regl leasi,INT_C30A7596,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,12
226743,37,2025-09-01,origine,INT_94ED1D37,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,49,2025-09-01,origine,INT_94ED1D37,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,12
226744,38,2025-09-01,tva,INT_9F48B554,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,50,2025-09-01,tva,INT_9F48B554,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,12
226745,39,2025-09-01,commission regl leasi,INT_4FAB0E3F,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,51,2025-09-01,commission regl leasi,INT_4FAB0E3F,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,12
226746,40,2025-09-01,origine,INT_F73E8FC0,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,52,2025-09-01,origine,INT_F73E8FC0,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,12
226747,41,2025-09-01,tva,INT_1BD84A5B,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,53,2025-09-01,tva,INT_1BD84A5B,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,12
226748,42,2025-09-01,commission regl leasi,INT_CC4DC969,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,54,2025-09-01,commission regl leasi,INT_CC4DC969,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,12
226749,43,2025-09-01,origine,INT_94291BB1,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,55,2025-09-01,origine,INT_94291BB1,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,12
226750,44,2025-09-01,tva,INT_7D723E39,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,56,2025-09-01,tva,INT_7D723E39,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,12
226751,45,2025-09-01,commission regl leasi,INT_2F1ED846,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,57,2025-09-01,commission regl leasi,INT_2F1ED846,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,12
226752,46,2025-09-01,origine,INT_6D04ACD6,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,58,2025-09-01,origine,INT_6D04ACD6,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-1297.521,12
226753,47,2025-09-01,tva,INT_6AA57881,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,59,2025-09-01,tva,INT_6AA57881,False,REGLEMENT ECHEANCE LEASING TVA COLLECTEE,-0.57,12
226754,48,2025-09-01,commission regl leasi,INT_00C61EF3,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,60,2025-09-01,commission regl leasi,INT_00C61EF3,False,REGLEMENT ECHEANCE LEASING COMMISSION REGL LEASI,-3.0,12
226755,49,2025-09-01,origine,INT_1CA43B67,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-3554.231,61,2025-09-01,origine,INT_1CA43B67,True,REGLEMENT ECHEANCE LEASING LOYER T.T.C,-3554.231,12
226756,50,2025-09-01,tva,INT_A496D904,False,REMBOURSEMENT ECHEANCE CREDIT TVA,-0.38,62,2025-09-01,tva,INT_A496D904,False,REMBOURSEMENT ECHEANCE CREDIT TVA,-0.38,12
226757,51,2025-09-01,remboursement echeance credit commission,INT_765ED5E2,False,REMBOURSEMENT ECHEANCE CREDIT COMMISSION DE REGLEMENT,-2.0,63,2025-09-01,remboursement echeance credit commission,INT_765ED5E2,False,REMBOURSEMENT ECHEANCE CREDIT COMMISSION DE REGLEMENT,-2.0,12
226758,52,2025-09-01,origine,INT_F1E5B79A,True,REMBOURSEMENT ECHEANCE CREDIT DU 31 08 2025,-150000.0,64,2025-09-01,origine,INT_F1E5B79A,True,REMBOURSEMENT ECHEANCE CREDIT DU 31 08 2025,-150000.0,12
226759,53,2025-09-02,agios,INT_8D7A0107,False,REMISE EFFET/ESCOMPTE AGENCE DU 25 08 2025,-4385.5,65,2025-09-02,agios,INT_8D7A0107,False,REMISE EFFET/ESCOMPTE AGENCE DU 25 08 2025,-4385.5,12
226760,54,2025-09-02,agios,INT_994EB087,False,REMISE EFFET/ESCOMPTE AGENCE DU 21 08 2025,-1780.414,66,2025-09-02,agios,INT_994EB087,False,REMISE EFFET/ESCOMPTE AGENCE DU 21 08 2025,-1780.414,12
226761,55,2025-09-02,origine,INT_B67E1F66,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,72886.1,67,2025-09-02,origine,INT_B67E1F66,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,72886.1,12
226762,56,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10155484646,-0.285,14,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10155484646,-0.285,-42
226763,57,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10155484646,-1.5,15,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10155484646,-1.5,-42
226764,58,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10396676795,-0.285,16,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10396676795,-0.285,-42
226765,59,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10396676795,-1.5,17,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10396676795,-1.5,-42
226766,60,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10396992821,-0.285,18,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10396992821,-0.285,-42
226767,61,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10396992821,-1.5,19,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10396992821,-1.5,-42
226768,62,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10396670975,-0.285,20,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10396670975,-0.285,-42
226769,63,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10396670975,-1.5,21,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10396670975,-1.5,-42
226770,64,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10155429065,-0.285,22,2025-09-02,tva,INT_4BC195B4,False,EFFET IMPAYE 310825TVA LCN 10155429065,-0.285,-42
226771,65,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10155429065,-1.5,23,2025-09-02,com,INT_4BC195B4,False,EFFET IMPAYE 310825COM LCN 10155429065,-1.5,-42
226772,66,2025-09-03,origine,INT_5BFC29DD,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,162476.155,69,2025-09-03,origine,INT_5BFC29DD,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,162476.155,3
226773,67,2025-09-03,tva,INT_4AAA6867,False,PAYEMENT EFFET 220825TVA  010155470678,-0.057,72,2025-09-03,tva,INT_4AAA6867,False,PAYEMENT EFFET 220825TVA  010155470678,-0.057,5
226774,68,2025-09-03,plo,INT_4AAA6867,False,PAYEMENT EFFET 220825PLO  010155470678,-0.75,73,2025-09-03,plo,INT_4AAA6867,False,PAYEMENT EFFET 220825PLO  010155470678,-0.75,5
226775,69,2025-09-03,com,INT_4AAA6867,False,PAYEMENT EFFET 220825COM  010155470678,-0.3,74,2025-09-03,com,INT_4AAA6867,False,PAYEMENT EFFET 220825COM  010155470678,-0.3,5
226776,70,2025-09-03,origine,INT_4AAA6867,True,PAYEMENT EFFET 220825  010155470678,-92173.69,71,2025-09-03,origine,INT_4AAA6867,True,PAYEMENT EFFET 220825  010155470678,-92173.69,1
226777,71,2025-09-03,tva,INT_20585D50,False,PAYEMENT EFFET 310825TVA  010155470581,-0.057,76,2025-09-03,tva,INT_20585D50,False,PAYEMENT EFFET 310825TVA  010155470581,-0.057,5
226778,72,2025-09-03,plo,INT_20585D50,False,PAYEMENT EFFET 310825PLO  010155470581,-0.75,77,2025-09-03,plo,INT_20585D50,False,PAYEMENT EFFET 310825PLO  010155470581,-0.75,5
226779,73,2025-09-03,com,INT_20585D50,False,PAYEMENT EFFET 310825COM  010155470581,-0.3,78,2025-09-03,com,INT_20585D50,False,PAYEMENT EFFET 310825COM  010155470581,-0.3,5
226780,74,2025-09-03,origine,INT_20585D50,True,PAYEMENT EFFET 310825  010155470581,-108101.494,75,2025-09-03,origine,INT_20585D50,True,PAYEMENT EFFET 310825  010155470581,-108101.494,1
226781,75,2025-09-05,origine,INT_D67C752F,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,50611.934,79,2025-09-05,origine,INT_D67C752F,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,50611.934,4
226782,76,2025-09-05,origine,INT_D6374808,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,91496.252,81,2025-09-05,origine,INT_D6374808,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,91496.252,5
226783,77,2025-09-05,tva,INT_A3EE5DC2,False,REGLEMENT EFFET ESCOMPTE 050925TVA,-0.057,83,2025-09-05,tva,INT_A3EE5DC2,False,REGLEMENT EFFET ESCOMPTE 050925TVA,-0.057,6
226784,78,2025-09-05,plo,INT_A3EE5DC2,False,REGLEMENT EFFET ESCOMPTE 050925PLO,-0.75,84,2025-09-05,plo,INT_A3EE5DC2,False,REGLEMENT EFFET ESCOMPTE 050925PLO,-0.75,6
226785,79,2025-09-05,com,INT_A3EE5DC2,False,REGLEMENT EFFET ESCOMPTE 050925COM,-0.3,85,2025-09-05,com,INT_A3EE5DC2,False,REGLEMENT EFFET ESCOMPTE 050925COM,-0.3,6
226786,80,2025-09-05,origine,INT_A3EE5DC2,True,REGLEMENT EFFET ESCOMPTE 050925,-112538.336,82,2025-09-05,origine,INT_A3EE5DC2,True,REGLEMENT EFFET ESCOMPTE 050925,-112538.336,2
226787,81,2025-09-08,origine,INT_474E1027,True,VIREMENT MEME CLIENT STE PRODTS PHARMACEU,100000.0,86,2025-09-08,origine,INT_474E1027,True,VIREMENT MEME CLIENT STE PRODTS PHARMACEU,100000.0,5
226788,82,2025-09-08,,INT_8733C816,False,REMISE EFFET/ENCAISSEMENT DU 28 08 2025,-1.428,39,2025-09-08,,INT_8733C816,False,REMISE EFFET/ENCAISSEMENT DU 28 08 2025,-1.428,-43
226789,83,2025-09-08,tva,INT_219DF191,False,REPRISE ESCOMPTE EFFET REJETE 050925TVA LCN 10816990502,-0.285,88,2025-09-08,tva,INT_219DF191,False,REPRISE ESCOMPTE EFFET REJETE 050925TVA LCN 10816990502,-0.285,5
226790,84,2025-09-08,com,INT_219DF191,False,REPRISE ESCOMPTE EFFET REJETE 050925COM LCN 10816990502,-1.5,89,2025-09-08,com,INT_219DF191,False,REPRISE ESCOMPTE EFFET REJETE 050925COM LCN 10816990502,-1.5,5
226791,85,2025-09-08,origine,INT_219DF191,True,REPRISE ESCOMPTE EFFET REJETE 050925 LCN 10816990502,-72769.272,87,2025-09-08,origine,INT_219DF191,True,REPRISE ESCOMPTE EFFET REJETE 050925 LCN 10816990502,-72769.272,2
226792,86,2025-09-08,tva,INT_17A08EE1,False,REPRISE ESCOMPTE EFFET REJETE 050925TVA LCN 10396979920,-0.285,91,2025-09-08,tva,INT_17A08EE1,False,REPRISE ESCOMPTE EFFET REJETE 050925TVA LCN 10396979920,-0.285,5
226793,87,2025-09-08,com,INT_17A08EE1,False,REPRISE ESCOMPTE EFFET REJETE 050925COM LCN 10396979920,-1.5,92,2025-09-08,com,INT_17A08EE1,False,REPRISE ESCOMPTE EFFET REJETE 050925COM LCN 10396979920,-1.5,5
226794,88,2025-09-08,origine,INT_17A08EE1,True,REPRISE ESCOMPTE EFFET REJETE 050925 LCN 10396979920,-37061.294,90,2025-09-08,origine,INT_17A08EE1,True,REPRISE ESCOMPTE EFFET REJETE 050925 LCN 10396979920,-37061.294,2
226795,89,2025-09-08,tva,INT_F803E900,False,REPRISE ESCOMPTE EFFET REJETE 050925TVA LCN 10626585710,-0.285,94,2025-09-08,tva,INT_F803E900,False,REPRISE ESCOMPTE EFFET REJETE 050925TVA LCN 10626585710,-0.285,5
226796,90,2025-09-08,com,INT_F803E900,False,REPRISE ESCOMPTE EFFET REJETE 050925COM LCN 10626585710,-1.5,95,2025-09-08,com,INT_F803E900,False,REPRISE ESCOMPTE EFFET REJETE 050925COM LCN 10626585710,-1.5,5
226797,91,2025-09-08,origine,INT_F803E900,True,REPRISE ESCOMPTE EFFET REJETE 050925 LCN 10626585710,-5515.357,93,2025-09-08,origine,INT_F803E900,True,REPRISE ESCOMPTE EFFET REJETE 050925 LCN 10626585710,-5515.357,2
226798,92,2025-09-08,origine,INT_84CB6F63,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,200298.904,96,2025-09-08,origine,INT_84CB6F63,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,200298.904,4
226799,93,2025-09-10,com / aut db passagere t.v.a.,INT_69242728,False,COM / AUT DB PASSAGERE T.V.A.,-5.7,97,2025-09-10,com / aut db passagere t.v.a.,INT_69242728,False,COM / AUT DB PASSAGERE T.V.A.,-5.7,4
226800,94,2025-09-10,com / aut db passagere commission cgespa eps,INT_BB5281D5,False,COM / AUT DB PASSAGERE COMMISSION CGESPA EPS,-30.0,98,2025-09-10,com / aut db passagere commission cgespa eps,INT_BB5281D5,False,COM / AUT DB PASSAGERE COMMISSION CGESPA EPS,-30.0,4
226801,95,2025-09-10,tva,INT_D16BBFF1,False,PAYEMENT EFFET 080925TVA  010938873136,-0.057,100,2025-09-10,tva,INT_D16BBFF1,False,PAYEMENT EFFET 080925TVA  010938873136,-0.057,5
226802,96,2025-09-10,plo,INT_D16BBFF1,False,PAYEMENT EFFET 080925PLO  010938873136,-0.75,101,2025-09-10,plo,INT_D16BBFF1,False,PAYEMENT EFFET 080925PLO  010938873136,-0.75,5
226803,97,2025-09-10,com,INT_D16BBFF1,False,PAYEMENT EFFET 080925COM  010938873136,-0.3,102,2025-09-10,com,INT_D16BBFF1,False,PAYEMENT EFFET 080925COM  010938873136,-0.3,5
226804,98,2025-09-10,origine,INT_D16BBFF1,True,PAYEMENT EFFET 080925  010938873136,-65185.607,99,2025-09-10,origine,INT_D16BBFF1,True,PAYEMENT EFFET 080925  010938873136,-65185.607,1
226805,99,2025-09-10,tva,INT_14F48F07,False,PAYEMENT EFFET 100925TVA  010155470193,-0.057,104,2025-09-10,tva,INT_14F48F07,False,PAYEMENT EFFET 100925TVA  010155470193,-0.057,5
226806,100,2025-09-10,plo,INT_14F48F07,False,PAYEMENT EFFET 100925PLO  010155470193,-0.75,105,2025-09-10,plo,INT_14F48F07,False,PAYEMENT EFFET 100925PLO  010155470193,-0.75,5
226807,101,2025-09-10,com,INT_14F48F07,False,PAYEMENT EFFET 100925COM  010155470193,-0.3,106,2025-09-10,com,INT_14F48F07,False,PAYEMENT EFFET 100925COM  010155470193,-0.3,5
226808,102,2025-09-10,origine,INT_14F48F07,True,PAYEMENT EFFET 100925  010155470193,-113970.291,103,2025-09-10,origine,INT_14F48F07,True,PAYEMENT EFFET 100925  010155470193,-113970.291,1
226809,103,2025-09-10,origine,INT_A183A2CE,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,146066.187,107,2025-09-10,origine,INT_A183A2CE,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,146066.187,4
226810,104,2025-09-11,agios,INT_F150E6D8,False,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,-1780.929,109,2025-09-11,agios,INT_F150E6D8,False,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,-1780.929,5
226811,105,2025-09-11,,INT_B3BDFB43,False,REMISE EFFET/ESCOMPTE AGENCE REJET ESCOMPTE A,-30190.767,110,2025-09-11,,INT_B3BDFB43,False,REMISE EFFET/ESCOMPTE AGENCE REJET ESCOMPTE A,-30190.767,5
226812,106,2025-09-11,agios,INT_BBFEA86E,False,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,-541.394,111,2025-09-11,agios,INT_BBFEA86E,False,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,-541.394,5
226813,107,2025-09-11,,INT_434C464E,False,REMISE EFFET/ESCOMPTE AGENCE REJET ESCOMPTE A,-42100.5,112,2025-09-11,,INT_434C464E,False,REMISE EFFET/ESCOMPTE AGENCE REJET ESCOMPTE A,-42100.5,5
226814,108,2025-09-11,agios,INT_7A5FA66D,False,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,-631.706,113,2025-09-11,agios,INT_7A5FA66D,False,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,-631.706,5
226815,109,2025-09-11,com / aut db passagere t.v.a.,INT_00999116,False,COM / AUT DB PASSAGERE T.V.A.,-5.7,114,2025-09-11,com / aut db passagere t.v.a.,INT_00999116,False,COM / AUT DB PASSAGERE T.V.A.,-5.7,5
226816,110,2025-09-11,com / aut db passagere commission cgespa eps,INT_59346B9A,False,COM / AUT DB PASSAGERE COMMISSION CGESPA EPS,-30.0,115,2025-09-11,com / aut db passagere commission cgespa eps,INT_59346B9A,False,COM / AUT DB PASSAGERE COMMISSION CGESPA EPS,-30.0,5
226817,111,2025-09-11,origine,INT_B7C36BEB,True,VIREMENT MEME CLIENT STE PRODTS PHARMACEU,100000.0,116,2025-09-11,origine,INT_B7C36BEB,True,VIREMENT MEME CLIENT STE PRODTS PHARMACEU,100000.0,5
226818,112,2025-09-11,tva,INT_112C0D24,False,REPRISE ESCOMPTE EFFET REJETE 100925TVA LCN 10155484840,-0.285,118,2025-09-11,tva,INT_112C0D24,False,REPRISE ESCOMPTE EFFET REJETE 100925TVA LCN 10155484840,-0.285,6
226819,113,2025-09-11,com,INT_112C0D24,False,REPRISE ESCOMPTE EFFET REJETE 100925COM LCN 10155484840,-1.5,119,2025-09-11,com,INT_112C0D24,False,REPRISE ESCOMPTE EFFET REJETE 100925COM LCN 10155484840,-1.5,6
226820,114,2025-09-11,origine,INT_112C0D24,True,REPRISE ESCOMPTE EFFET REJETE 100925 LCN 10155484840,-53462.374,117,2025-09-11,origine,INT_112C0D24,True,REPRISE ESCOMPTE EFFET REJETE 100925 LCN 10155484840,-53462.374,3
226821,115,2025-09-11,tva,INT_93433DD2,False,PAYEMENT EFFET 110925TVA  010396993985,-0.057,121,2025-09-11,tva,INT_93433DD2,False,PAYEMENT EFFET 110925TVA  010396993985,-0.057,6
